job_id,n_rows,mean_cpu,mean_mem,mean_io,std_cpu,std_mem,std_io,cpu_p50,cpu_p95,burst_cpu,burst_mem,burst_io,cpu_diff_mean,cpu_diff_maxabs,mem_diff_mean,mem_diff_maxabs,io_diff_mean,io_diff_maxabs,vol_cpu,vol_mem,vol_io,cpu_skew,cpu_kurtosis,machines_used,start_ts,end_ts,duration_s,ae_0,ae_1,ae_2,ae_3,ae_4,ae_5,ae_6,ae_7,ae_8,ae_9,ae_10,ae_11,ae_12,ae_13,ae_14,ae_15,cluster,pca1,pca2
1279055723,34,0.0016430000000000001,0.006787,0.00010670323529411764,0.00014231179522029624,5.699225953635127e-05,0.00010483243909492755,0.001558,0.00187565,0.00039100000000000007,0.00027500000000000007,0.0003767,-3.2727272727272733e-06,0.00036800000000000005,-1.1515151515151467e-06,0.0001990000000000004,-8.090909090909128e-07,0.00035475,0.09276219238634317,0.007403322824628215,0.6940676449445148,0.6454930379734459,-1.3718318258430455,1,600000000,10500000000,9900000000.0,-0.2259241,0.2959307,0.39229497,-0.17839153,-0.01886584,0.06241838,-0.069486305,-0.18926287,0.17325307,0.019817168,0.10073526,0.28461796,-0.28152987,0.020168114,0.27043316,-0.36017483,0,1.3733265044383722,-0.9004686725552148
1287399870,34,0.0067401176470588235,0.014659705882352943,6.423088235294117e-06,0.0003156887674971592,9.265639542123758e-05,3.401735944101335e-06,0.0066605,0.0073247,0.0010530000000000001,0.00037000000000000054,1.4305e-05,-4.606060606060613e-06,0.0009909999999999997,0.0,0.0002999999999999999,2.8909090909090925e-08,1.3352e-05,0.04615417668552311,0.006224602486750097,0.3676041891259743,0.4603243251504598,-0.9841687353149631,1,600000000,10500000000,9900000000.0,-0.06969692,0.15866755,0.28623405,-0.0037495857,0.09486174,0.12023233,0.072041444,0.035189174,0.16198993,-0.16967005,-0.047850166,0.2336434,-0.08688435,-0.005155451,0.101662286,-0.104950435,0,1.29839393478279,-0.6678447008748879
1297383150,34,0.07277235294117648,0.08897882352941178,0.0007697764705882355,0.003916490820367228,0.0004282437781964993,0.00010748711293158255,0.07062,0.079512,0.012450000000000003,0.001459999999999989,0.0006552999999999999,-0.00026272727272727266,0.010860000000000009,2.969696969696954e-05,0.0008500000000000035,-1.4727272727272724e-06,0.000455,0.05538545917329585,0.0027403311116958986,0.11451302940268135,0.9952087776984677,-0.6997596278580733,1,600000000,10500000000,9900000000.0,-0.14452207,1.9748484,-1.3341153,-1.1650714,-0.75781214,-2.060126,-0.24178982,-1.1567428,-0.12436513,1.0584942,-0.56317127,-1.0510061,0.09375556,0.65565634,-0.75326353,1.2686211,0,-2.2131574331905974,4.220645472363911
1297383672,34,0.0028797647058823534,0.02059558823529412,5.721911764705881e-06,0.000539692399254565,5.04795343778392e-05,1.9760371568256783e-06,0.002899,0.0037184500000000003,0.0017009999999999998,0.0001799999999999996,9.535e-06,2.4030303030303025e-05,0.0015830000000000002,9.090909090908721e-07,0.00015000000000000083,1.7339393939393942e-07,8.582e-06,0.1995507745088204,0.0024709024135782104,0.2859448463540494,0.18066540917434978,-1.1826332527684909,1,600000000,10500000000,9900000000.0,-0.019069888,0.20930472,0.10706066,0.16180222,0.054330457,0.09542667,0.024514662,0.051169343,0.08086456,-0.07971802,0.038063325,0.24431498,-0.12432623,-0.09591439,0.18379611,-0.016309973,0,1.1772152118062418,-0.550728520594922
1303031391,1020,3.915200980392157e-05,0.0017033259803921567,1.458520588235294e-07,5.991129176025622e-06,0.0010902376490083323,6.664558862220927e-07,3.815e-05,5.341e-05,3.3379999999999996e-05,0.0024529,9.537e-06,5.613346418056921e-09,2.956e-05,1.5701668302255793e-08,0.0024429,-1.2468590980190878e-24,9.537e-06,0.13735345918573758,0.7098540498146154,0.6697737672633038,1.222077964616994,1.52306596020349,30,600000000,10500000000,9900000000.0,0.43477872,-0.060499772,0.09270406,-0.978084,-0.9963443,0.3635704,0.6616219,0.116014585,0.4237388,1.4505097,0.7715035,-0.0775681,-1.0312263,-1.7856976,0.9088619,-0.9856177,0,0.7528277034069826,-0.08244499717254783
1317485965,136,0.00041042205882352946,0.004359316176470588,6.261882352941177e-05,6.270370883483367e-05,5.662281059341958e-05,6.287029887768038e-05,0.0003986,0.0005283,0.0003548,0.0004959999999999999,0.00031183999999999997,-6.370370370370444e-08,0.0002957,5.92592592592607e-08,0.0003820000000000004,1.222296296296297e-06,0.00030803,0.13096821520854854,0.009667086806109488,0.7318680401796311,0.9361457830962535,1.1727212737541413,4,600000000,10500000000,9900000000.0,-0.10295396,0.2374774,0.2961886,-0.057931744,-0.115215115,0.05674565,0.0190309,-0.26526877,0.1417658,-0.006349055,0.23925328,0.14924975,-0.27088836,-0.06575906,0.3666297,-0.48244417,0,1.2408581946765764,-0.8637735199600828
1322009214,68,5.017970588235294e-05,0.0015818529411764704,9.816764705882353e-08,1.9081951517138447e-06,1.5531054948717127e-05,4.3699759504021783e-07,4.959e-05,5.341e-05,7.63e-06,3.4000000000000176e-05,2.861e-06,-5.7014925373134336e-08,5.730000000000001e-06,4.776119402985093e-07,3.4000000000000176e-05,0.0,2.861e-06,0.03913196490191512,0.010641051752939445,0.634697352756447,0.12495066224936459,-1.045560961197257,2,600000000,10500000000,9900000000.0,-0.19397068,0.3183149,0.44096836,-0.11806371,0.040489912,0.15488243,0.008637866,-0.10179125,0.24459133,-0.04806975,0.14892542,0.25560704,-0.28605345,0.028990176,0.22240876,-0.41170615,0,1.5593256706936232,-1.0451391665827758
1328506354,34,0.007760794117647059,0.013829411764705882,8.103323529411765e-05,0.0010421454053287146,7.263693666086187e-05,6.274135406668481e-05,0.007282500000000001,0.00948135,0.004416,0.0002900000000000003,0.00031662000000000004,-8.757575757575764e-06,0.004363,-1.8181818181817967e-06,0.0002900000000000003,-5.203030303030305e-07,0.0003128,0.1275930123922296,0.005044108578035656,0.31236222542434045,1.5923063186331496,1.8816768719731476,1,600000000,10500000000,9900000000.0,-0.16137958,0.13788193,0.18264113,-0.007913914,0.10426344,0.070910014,0.023524776,-0.04600971,0.06012178,-0.12359567,-0.100156695,0.17169036,0.015526809,0.095511764,0.05924157,-0.005185703,0,1.0457668709252714,-0.41618730302412343
1329653148,1021,0.003268890303623898,0.002867515181194907,8.630281096963761e-05,0.0003862248076839768,0.00022568653560908682,3.24335518564645e-05,0.003265,0.003819,0.006294,0.00338,0.000453,-5.049019607843132e-07,0.003658,6.352941176470577e-07,0.002922,-8.880392156862714e-08,0.00038529,0.10640709230819492,0.06464327735437717,0.3361654145063963,-0.47596783473334564,13.418423041790522,30,600000000,10500000000,9900000000.0,-0.0432164,0.11439192,0.26455644,-0.03931135,0.003772201,0.15260352,0.123962976,0.036349338,0.12573795,0.002206074,0.22343329,0.122600146,-0.069097646,-0.0659648,0.13202943,-0.097723,0,0.8987389265037103,-0.6897704547221045
1332939103,34,6.658823529411764e-05,0.00022340588235294118,7.517147058823529e-06,1.9272068642410587e-06,2.217038456042412e-06,2.1545430678719047e-06,6.676e-05,6.8996e-05,9.529999999999999e-06,8.60000000000002e-06,1.0488999999999999e-05,2.8787878787878668e-08,3.820000000000001e-06,8.484848484848445e-08,7.599999999999995e-06,-8.669696969696975e-08,7.628999999999999e-06,0.016859127071236026,0.008825553843052215,0.24715819831342434,-0.8050069857832637,1.2901907056605877,1,600000000,10500000000,9900000000.0,-0.12414394,0.30658954,0.4321235,0.07702014,0.14365365,0.35516497,0.08995089,0.07860586,0.15137048,-0.20405123,0.04674718,0.32307017,-0.11705539,0.07204586,0.27561027,-0.10175273,0,1.5628438886161278,-1.2311588353271103
