latent_0,latent_1,job_id,anomaly_iforest,anomaly_ocsvm,umap1,umap2,cluster
-0.20911881,-1.1892587,124371644,0,0,12.216928,-3.3917382,1
-0.15796794,-1.4412266,154376113,0,0,11.708164,4.4820747,1
-0.4618013,0.28705138,155171765,0,0,6.173964,-8.865067,1
-0.18828765,-0.89674336,182939990,0,0,10.276043,-5.0186334,1
-0.10421582,-1.0877851,192299653,0,0,10.826009,-3.7977839,1
-0.15776363,-1.3190879,194963094,0,0,13.716137,-0.08674592,1
-0.4793737,0.36230034,209193844,0,0,6.2552133,-8.975819,1
-0.15114897,-1.516591,212499161,0,0,11.082673,10.702152,1
-0.1952607,0.08616632,215723520,0,0,5.627293,-7.5035205,1
-0.14811766,-1.4521428,232736649,0,0,11.398945,5.1727076,1
-0.15793437,-1.378987,246757899,0,0,12.404915,1.8348255,1
-0.51158303,2.8213005,259235987,1,0,7.5912366,-10.666058,1
-0.14621061,-1.5564481,259659137,0,0,-16.07053,-1.3313173,0
-0.23236893,-0.74843746,260194510,0,0,9.107563,-5.7738066,1
-0.17636687,-1.2112771,261357632,0,0,12.380535,-3.1066372,1
-0.26269823,0.07284358,261595273,0,0,5.616987,-7.438555,1
0.011928156,-0.7488642,287653404,0,0,8.752732,-4.953428,1
-0.18163708,-1.3133756,292046988,0,0,14.221822,0.035663087,1
-0.18165752,-1.3097141,296756903,0,0,14.376444,-0.07265072,1
-0.09421316,-1.3235728,307306810,0,0,12.142517,-0.8684375,1
-0.21703805,-1.1391243,315551614,0,0,11.803146,-3.7168376,1
-0.1390081,-1.0074133,318504156,0,0,10.5372715,-4.2169876,1
0.3159474,-0.93825126,331416465,0,0,8.505623,-3.877621,1
-0.14658873,-1.544327,341499666,0,0,9.350368,16.712246,1
-0.07269995,-1.4662799,350775748,0,0,10.078355,3.2177234,1
-0.18311748,-1.3155583,358933853,0,0,14.192858,0.0587707,1
-0.14844346,-1.519667,358933855,0,0,10.950089,11.104375,1
0.09835781,-0.4158727,370237482,0,0,7.762345,-5.580191,1
-0.14622915,-1.5481651,384861629,0,0,7.616083,18.214231,1
-0.14165954,0.43960238,411248937,0,0,6.781808,-9.016969,1
-0.15983951,-1.3980702,430861762,0,0,12.152891,2.6439621,1
-0.14280364,-1.5449861,437863928,0,0,7.835441,15.861042,1
-0.14126639,-1.5403367,437863935,0,0,8.149784,15.380255,1
-0.14600426,-1.5526472,437863939,0,0,3.9174247,18.209332,1
-0.13130604,-1.2882394,447689838,0,0,12.335545,-1.6638913,1
-0.1498167,-1.4891146,447971550,0,0,10.547229,7.673509,1
-0.13536128,-1.2339981,494787089,0,0,12.217691,-2.440536,1
-0.11692959,-1.5163844,494787097,0,0,8.767364,10.252463,1
0.36446667,-1.056636,498778363,0,0,8.55506,-3.7313468,1
-0.14670935,-1.548095,501114088,0,0,7.820825,18.195478,1
-0.14621061,-1.5564481,515042954,0,0,-16.130924,-1.2422824,0
0.1643639,-1.2459918,516580766,0,0,9.275315,-2.6051955,1
-0.15497437,-1.2841793,516580966,0,0,12.593317,-1.821495,1
-0.11321057,-1.1618404,519524647,0,0,11.741594,-2.9158728,1
-0.08653667,-1.3964702,519524649,0,0,11.495812,0.80613106,1
-0.146389,-1.5514992,532613684,0,0,4.948037,18.473646,1
-0.18489344,-1.3114029,595842024,0,0,14.298312,0.012497676,1
-0.13642767,-1.494784,609252510,0,0,9.556424,8.922918,1
-0.13660775,-1.4997667,609252512,0,0,9.639785,8.938657,1
-0.13570634,-1.5020317,609252514,0,0,9.596942,8.990509,1
-0.1378611,-1.499679,609252516,0,0,9.706512,8.925697,1
-0.110143945,-1.4779855,609260421,0,0,8.785169,9.00687,1
-0.14208247,-1.352566,611190167,0,0,12.387924,1.442668,1
-0.14709046,-1.5443159,612573927,0,0,9.340706,16.715673,1
-0.24136238,-0.8970818,616437105,0,0,10.252324,-5.107252,1
-0.1394065,-1.3949748,616437107,0,0,11.717666,1.1289623,1
-0.09895714,-0.9733437,616564438,0,0,10.444458,-4.117106,1
-0.15710849,-1.2653805,620363598,0,0,12.659021,-2.035662,1
-0.23326528,-0.90267,643855116,0,0,10.286956,-5.0795608,1
-0.45453006,0.40352565,643856032,0,0,6.2439775,-8.988419,1
-0.13752434,-1.5334383,683388149,0,0,9.083213,12.879753,1
-0.14641705,-1.4379203,685455037,0,0,11.545748,4.4310083,1
0.11630522,-0.876275,685461029,0,0,8.835544,-4.503851,1
-0.15116155,-1.5184808,685758680,0,0,11.105034,10.861778,1
-0.20119457,-1.1238071,685758751,0,0,11.72433,-3.7643385,1
-0.14735392,-1.5477804,686717012,0,0,7.9913807,18.108269,1
-0.14730401,-1.548397,686717176,0,0,7.7351894,18.320524,1
-0.15140979,-1.5117761,693486635,0,0,10.957807,9.963047,1
-0.16058564,-1.4361867,693486637,0,0,11.75816,4.301628,1
-0.06220074,-0.27623183,696492866,0,0,7.4813285,-5.9309006,1
-0.09609839,-1.06228,698645235,0,0,10.666749,-3.9170587,1
-0.054567963,-1.1386868,699707924,0,0,10.989932,-2.982714,1
-0.14864802,-0.19743228,699708719,0,0,7.0276566,-6.1851335,1
-0.11710488,-1.3715683,700769429,0,0,11.692664,0.82157207,1
-0.12008334,-1.3335222,700769431,0,0,12.248037,-0.38261482,1
-0.05184865,-1.0700384,718753271,0,0,10.604116,-3.7452166,1
-0.19571404,-1.1056689,740213574,0,0,11.59969,-3.8404274,1
-0.03688495,-0.76845866,752502434,0,0,8.867388,-5.0838156,1
-0.17942634,-0.484564,752760242,0,0,8.094742,-5.8269167,1
0.037677035,-1.2771382,766199538,0,0,10.043255,-2.4230144,1
-0.13255851,-1.2670909,771022573,0,0,12.3588,-1.8833289,1
-0.1438141,-1.5288616,771338739,0,0,9.854101,13.123103,1
-0.14621061,-1.5564481,778322517,0,0,-16.228668,-1.1923772,0
-0.18110815,-1.2589049,793288022,0,0,13.1145735,-2.5386417,1
-0.07120642,-1.3521756,793288025,0,0,11.526337,0.4742149,1
-0.18942854,-1.2707673,793504208,0,0,13.6430435,-2.6804056,1
-0.14720875,-1.471057,837840133,0,0,10.984325,6.3984685,1
0.014275074,-1.4259948,840454103,0,0,9.439437,-0.4848251,1
-0.1428696,-1.519748,871805047,0,0,10.827196,10.950224,1
